label,config_hash,profile,scenario,exposure_s,realization,injected_model,fit_model,method,stage,seed,parameter,truth,estimate,error,relative_error,delta_c,evaluations,wall_time_s,boundary_hits,failure
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,0,cutoff,powerlaw,scipy,best_multistart,3961495221691224610,tin,0.7,0.7739940648393856,0.07399406483938564,0.10570580691340807,0.0,1015,0.19966310000017984,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,0,cutoff,powerlaw,scipy,best_multistart,3961495221691224610,ndisk,8000.0,6708.795642144032,-1291.2043578559678,-0.16140054473199597,0.0,1015,0.19966310000017984,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,0,cutoff,powerlaw,scipy,best_multistart,3961495221691224610,gamma,2.1,2.261975549563297,0.16197554956329707,0.07713121407776051,0.0,1015,0.19966310000017984,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,0,cutoff,powerlaw,scipy,best_multistart,3961495221691224610,norm,0.25,0.24396978072582753,-0.006030219274172466,-0.024120877096689863,0.0,1015,0.19966310000017984,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,0,cutoff,powerlaw,ga,raw,5883425662561586322,tin,0.7,0.778646186208301,0.078646186208301,0.11235169458328714,1441.8099808181678,800,0.26198850000037055,0,True
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,0,cutoff,powerlaw,ga,raw,5883425662561586322,ndisk,8000.0,13831.11652950824,5831.116529508239,0.7288895661885298,1441.8099808181678,800,0.26198850000037055,0,True
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,0,cutoff,powerlaw,ga,raw,5883425662561586322,gamma,2.1,1.3581231066523403,-0.7418768933476598,-0.35327471111793324,1441.8099808181678,800,0.26198850000037055,0,True
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,0,cutoff,powerlaw,ga,raw,5883425662561586322,norm,0.25,0.050085106809842676,-0.19991489319015732,-0.7996595727606293,1441.8099808181678,800,0.26198850000037055,0,True
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,0,cutoff,powerlaw,ga+scipy,polished,5883425662561586322,tin,0.7,0.7739942586300689,0.07399425863006892,0.10570608375724132,-6.999982815614203e-10,1000,0.3014541000011377,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,0,cutoff,powerlaw,ga+scipy,polished,5883425662561586322,ndisk,8000.0,6708.79183734411,-1291.2081626558902,-0.16140102033198628,-6.999982815614203e-10,1000,0.3014541000011377,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,0,cutoff,powerlaw,ga+scipy,polished,5883425662561586322,gamma,2.1,2.261975697495333,0.16197569749533303,0.07713128452158716,-6.999982815614203e-10,1000,0.3014541000011377,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,cutoff_truth_powerlaw_fit,512.0,0,cutoff,powerlaw,ga+scipy,polished,5883425662561586322,norm,0.25,0.24396981921216804,-0.006030180787831962,-0.02412072315132785,-6.999982815614203e-10,1000,0.3014541000011377,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,correct_model,512.0,1,powerlaw,powerlaw,scipy,best_multistart,5004134075934776180,tin,0.7,0.7020947263374451,0.0020947263374451186,0.0029924661963501697,0.0,1320,0.26528679999864835,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,correct_model,512.0,1,powerlaw,powerlaw,scipy,best_multistart,5004134075934776180,ndisk,8000.0,7740.844714406423,-259.155285593577,-0.03239441069919712,0.0,1320,0.26528679999864835,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,correct_model,512.0,1,powerlaw,powerlaw,scipy,best_multistart,5004134075934776180,gamma,2.1,2.1104025576795893,0.010402557679589197,0.004953598895042475,0.0,1320,0.26528679999864835,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,correct_model,512.0,1,powerlaw,powerlaw,scipy,best_multistart,5004134075934776180,norm,0.25,0.2544989702469174,0.004498970246917422,0.017995880987669688,0.0,1320,0.26528679999864835,0,False
Synthetic / NICER-inspired,d17357d31d720259,smoke,correct_model,512.0,1,powerlaw,powerlaw,ga,raw,7673148484487216605,tin,0.7,1.2548508319544425,0.5548508319544425,0.7926440456492037,1427.267519769035,800,0.19868720000158646,0,True
Synthetic / NICER-inspired,d17357d31d720259,smoke,correct_model,512.0,1,powerlaw,powerlaw,ga,raw,7673148484487216605,ndisk,8000.0,0.16530104365841244,-7999.8346989563415,-0.9999793373695427,1427.267519769035,800,0.19868720000158646,0,True
